AccountId,recency,frequency,monetary_total,monetary_mean,monetary_std,frequency_recency_ratio,monetary_consistency,fraud_count,risk_score,default_proxy
AccountId_1,34,3,70000,23333.333333333332,5773.502691896258,0.08571428571428572,0.00017320508072688772,0,1.0,0
AccountId_10,0,965,3404267,3527.737823834197,3699.712454996612,965.0,0.00027029127584744274,0,2.0,1
AccountId_100,37,2,180000,90000.0,14142.13562373095,0.05263157894736842,7.071067811365475e-05,0,1.0,0
AccountId_1000,79,10,97000,9700.0,16686.987611775698,0.125,5.992693368061181e-05,0,1.0,0
AccountId_1002,21,1,2000000,2000000.0,,0.045454545454545456,,0,1.0,0
AccountId_1004,57,5,10000,2000.0,0.0,0.08620689655172414,1000000.0,0,1.0,0
AccountId_1005,89,1,5000,5000.0,,0.011111111111111112,,0,1.0,0
AccountId_1006,26,1,100,100.0,,0.037037037037037035,,0,0.0,0
AccountId_1007,1,3,3000,1000.0,866.0254037844386,1.5,0.0011547005370459182,0,0.0,0
AccountId_1008,11,6,51000,8500.0,2345.207879911715,0.5,0.0004264014325294027,0,0.0,0
AccountId_1009,65,1,10000,10000.0,,0.015151515151515152,,0,1.0,0
AccountId_101,50,2,5500,2750.0,353.5533905932738,0.0392156862745098,0.00282842711674619,0,1.0,0
AccountId_1010,81,5,11000,2200.0,2683.281572999748,0.06097560975609756,0.000372677996111076,0,1.0,0
AccountId_1011,1,11,112000,10181.818181818182,337.0999312316209,5.5,0.0029664793860382666,0,0.0,0
AccountId_1012,53,1,5000,5000.0,,0.018518518518518517,,0,1.0,0
AccountId_1014,32,2,20000,10000.0,0.0,0.06060606060606061,1000000.0,0,1.0,0
AccountId_1015,22,2,2000,1000.0,0.0,0.08695652173913043,1000000.0,0,0.0,0
AccountId_1016,4,4,26000,6500.0,4358.898943540674,0.8,0.00022941573381793015,0,0.0,0
AccountId_1017,67,3,30000,10000.0,0.0,0.04411764705882353,1000000.0,0,1.0,0
AccountId_1018,65,6,120750,20125.0,25882.30573190882,0.09090909090909091,3.863643410751155e-05,0,1.0,0
AccountId_102,65,1,10000,10000.0,,0.015151515151515152,,0,1.0,0
AccountId_1020,18,1,500,500.0,,0.05263157894736842,,0,0.0,0
AccountId_1021,38,1,10000,10000.0,,0.02564102564102564,,0,1.0,0
AccountId_1022,15,3,30000,10000.0,8660.254037844386,0.1875,0.00011547005382459181,0,0.0,0
AccountId_1023,39,2,220000,110000.0,127279.22061357855,0.05,7.856742013122133e-06,0,1.0,0
AccountId_1024,22,1,1000,1000.0,,0.043478260869565216,,0,0.0,0
AccountId_1025,0,7,76000,10857.142857142857,1864.454471471609,7.0,0.0005363499161630655,0,0.0,0
